1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.654762	0.000000	4.231382	0.005356	93.4
1	-0.644354	0.000000	4.231382	0.013635	3.4
2	-0.665019	0.000000	4.231382	0.036978	3.4
3	-0.622890	0.016609	4.228038	0.013783	2.9
4	-0.654441	0.124768	4.206390	0.006269	3.4
5	-0.663074	0.030960	4.225153	0.037204	3.6
6	-0.650690	0.000000	4.231382	0.021557	3.3
7	-0.644830	0.859211	4.065061	0.009479	3.5
8	-0.617330	0.852908	4.066233	0.028780	3.5
9	-0.636711	1.076287	4.025089	0.017237	7.0
10	-0.629077	0.860292	4.064860	0.018872	3.0
11	-0.628472	1.102660	4.020286	0.064707	3.4
12	-0.645322	0.748915	4.085676	0.036941	3.3
13	-0.657460	0.194824	4.192487	0.023855	3.3
14	-0.627389	0.562744	4.120951	0.028529	3.5
15	-0.619842	0.166249	4.198147	0.022098	3.5
16	-0.639379	0.000000	4.231382	0.034330	3.4
17	-0.634174	0.000000	4.231382	0.016429	3.3
18	-0.651720	0.612873	4.111393	0.015382	3.4
19	-0.619378	0.914497	4.054805	0.006231	3.3
20	-0.644009	1.020161	4.035348	0.029133	3.3
21	-0.639086	0.813732	4.073536	0.027180	3.2
22	-0.653520	0.306295	4.170553	0.006031	3.4
23	-0.634079	0.159276	4.199530	0.011876	3.2
24	-0.647308	0.212527	4.188988	0.037270	3.5
25	-0.655171	0.347674	4.162469	0.021547	3.0
26	-0.651079	1.175965	4.006997	0.037267	3.4
27	-0.615923	2.031028	3.858231	0.011460	7.2
28	-0.634722	1.692199	3.915840	0.036111	3.4
29	-0.633123	2.049720	3.855102	0.019853	3.4
30	-0.656209	2.503618	3.780653	0.012320	3.5
31	-0.657740	2.286541	3.815896	0.003737	2.9
32	-0.643542	2.305120	3.812854	0.015340	3.5
33	-0.612894	2.314143	3.811378	0.040690	3.5
34	-0.624873	1.862783	3.886623	0.006144	3.2
35	-0.667182	2.164893	3.835935	0.029522	3.6
36	-0.651750	2.402422	3.797001	0.021044	3.4
37	-0.615263	3.124818	3.683303	0.017102	3.7
38	-0.662068	3.506026	3.626007	0.007465	3.5
39	-0.626349	3.391692	3.643004	0.011269	3.0
40	-0.641397	3.369716	3.646289	0.039972	3.1
41	-0.626137	3.510219	3.625387	0.016740	3.1
42	-0.648009	3.166573	3.676939	0.018131	3.3
43	-0.649801	3.305874	3.655866	0.010695	3.4
44	-0.637505	3.289287	3.658363	0.012736	3.0
45	-0.636526	3.308059	3.655537	0.013328	3.2
46	-0.607406	3.426521	3.637809	0.015398	3.4
47	-0.626058	3.321614	3.653500	0.028345	3.5
48	-0.628697	3.341897	3.650456	0.011617	3.3
49	-0.662995	3.347876	3.649559	0.033512	3.4
50	-0.667860	3.431726	3.637034	0.020625	4.2
51	-0.635691	4.169253	3.530459	0.007815	13.2
52	-0.656264	4.368037	3.502794	0.022277	3.5
53	-0.651594	4.575264	3.474413	0.012509	2.9
54	-0.650888	4.428353	3.494486	0.011479	3.3
55	-0.654414	4.612435	3.469370	0.017130	3.6
56	-0.673328	4.442544	3.492537	0.018224	3.5
57	-0.632486	4.125856	3.536557	0.026104	3.5
58	-0.650580	4.652284	3.463981	0.012804	3.5
59	-0.610785	4.761957	3.449234	0.046907	3.4
60	-0.634025	5.401175	3.365722	0.019450	3.5
61	-0.655383	4.883591	3.433025	0.028588	3.5
62	-0.660291	5.221150	3.388830	0.024501	3.5
63	-0.631887	4.948933	3.424381	0.024300	3.4
64	-0.632809	4.927103	3.427264	0.013910	3.5
65	-0.640576	4.725675	3.454099	0.016926	3.3
66	-0.617179	4.691826	3.458649	0.026512	3.5
67	-0.639745	5.181700	3.393936	0.052264	3.4
68	-0.630518	6.159025	3.271805	0.005188	3.1
69	-0.632566	6.408073	3.242075	0.030945	3.3
70	-0.637383	6.277898	3.257546	0.032535	3.5
71	-0.651674	7.204561	3.150520	0.018617	3.4
72	-0.685836	6.805127	3.195778	0.035298	3.4
73	-0.634013	7.503068	3.117525	0.024780	3.0
74	-0.628196	7.318839	3.137806	0.029662	3.5
75	-0.620255	7.951567	3.069230	0.038173	3.4
76	-0.630985	7.553586	3.112009	0.018768	3.5
77	-0.626058	8.199462	3.043173	0.029222	3.0
78	-0.648425	7.757506	3.089942	0.032393	2.9
79	-0.633292	7.246223	3.145873	0.016878	3.5
80	-0.650762	6.821942	3.193847	0.023436	15.1
81	-0.634384	7.070009	3.165621	0.008282	3.4
82	-0.641047	7.193414	3.151765	0.033616	3.0
83	-0.641248	7.300801	3.139806	0.009379	3.0
84	-0.631102	7.026564	3.170529	0.020040	3.5
85	-0.647944	7.269184	3.143318	0.024511	3.5
86	-0.642990	7.898374	3.074880	0.011174	3.6
87	-0.634207	7.932379	3.071266	0.038877	3.4
88	-0.656873	7.951165	3.069273	0.013591	3.2
89	-0.622049	8.038890	3.060001	0.011877	4.1
90	-0.621599	8.113499	3.052159	0.034646	3.3
91	-0.629117	8.186408	3.044534	0.010180	3.4
92	-0.642024	8.097793	3.053806	0.023539	4.2
93	-0.622236	7.893531	3.075395	0.013010	3.6
94	-0.663439	7.660858	3.100362	0.024790	3.3
95	-0.617258	7.579086	3.109232	0.021684	3.0
96	-0.633785	7.161715	3.155313	0.034260	3.5
97	-0.653716	7.989887	3.065173	0.035992	3.4
98	-0.628452	7.446266	3.123750	0.016697	3.4
99	-0.645248	7.042804	3.168692	0.033033	3.6
100	-0.670758	6.617277	3.217516	0.017837	3.2
101	-0.635787	6.404654	3.242479	0.014021	3.6
102	-0.653613	6.334714	3.250776	0.016550	3.0
103	-0.656342	6.622927	3.216858	0.011046	3.3
104	-0.663556	6.551462	3.225202	0.006141	3.3
105	-0.640194	6.552641	3.225064	0.008239	7.9
106	-0.653949	6.610150	3.218346	0.023091	3.3
107	-0.628014	6.762542	3.200680	0.026163	3.4
108	-0.649846	7.495948	3.118304	0.021919	3.4
109	-0.655143	7.047814	3.168126	0.008681	3.3
110	-0.664801	6.860174	3.189464	0.034077	3.7
111	-0.636777	6.705988	3.207214	0.024700	4.4
112	-0.660444	7.440637	3.124368	0.020612	4.5
113	-0.646324	7.029114	3.170240	0.027101	4.3
114	-0.637914	6.709595	3.206796	0.033605	4.4
115	-0.652803	7.545521	3.112888	0.037618	4.4
116	-0.651714	6.999906	3.173547	0.020713	3.8
117	-0.651060	7.815074	3.083769	0.022966	3.5
118	-0.630228	8.373738	3.025118	0.024176	3.3
119	-0.634161	7.929739	3.071546	0.043649	3.5
120	-0.634781	8.869965	2.974862	0.011441	3.6
121	-0.643844	8.462485	3.016006	0.021120	2.9
122	-0.612833	8.254340	3.037465	0.006702	3.3
123	-0.633943	8.445713	3.017724	0.012195	3.4
124	-0.646078	8.450508	3.017232	0.006874	3.3
125	-0.631209	8.371375	3.025361	0.020191	3.6
126	-0.660194	8.493225	3.012862	0.027272	3.4
127	-0.635396	9.095583	2.952560	0.031021	3.1
128	-0.654698	8.587885	3.003223	0.013493	8.4
129	-0.650781	9.056820	2.956368	0.019702	3.5
130	-0.659061	8.927869	2.969106	0.027404	3.4
131	-0.661715	9.567027	2.907022	0.018775	3.9
132	-0.626833	10.219038	2.846309	0.010522	3.5
133	-0.638141	10.431420	2.827076	0.009073	3.6
134	-0.618130	10.412575	2.828772	0.015766	3.8
135	-0.649476	10.536320	2.817673	0.042781	4.2
136	-0.654635	11.307386	2.750424	0.011293	3.6
137	-0.641111	11.541769	2.730614	0.031935	3.5
